code,region,tipo_de_destino,periodo,total
01,Andalucía,Incineración o aprovechamiento energético,2000,..
01,Andalucía,Vertedero,2022,"8,8"
01,Andalucía,Vertedero,2020,"5,8"
01,Andalucía,Vertedero,2018,"4,2"
01,Andalucía,Vertedero,2016,"4,8"
01,Andalucía,Vertedero,2014,"9,3"
01,Andalucía,Vertedero,2013,"11,6"
01,Andalucía,Vertedero,2012,"17,0"
01,Andalucía,Vertedero,2011,..
01,Andalucía,Vertedero,2010,..
01,Andalucía,Vertedero,2009,..
01,Andalucía,Vertedero,2008,..
01,Andalucía,Vertedero,2007,..
01,Andalucía,Vertedero,2006,..
01,Andalucía,Vertedero,2005,..
01,Andalucía,Vertedero,2004,..
01,Andalucía,Vertedero,2003,..
01,Andalucía,Vertedero,2002,..
01,Andalucía,Vertedero,2001,..
01,Andalucía,Vertedero,2000,..
02,Aragón,"Agricultura, silvicultura y jardinería",2022,"53,7"
02,Aragón,"Agricultura, silvicultura y jardinería",2020,"58,3"
02,Aragón,"Agricultura, silvicultura y jardinería",2018,"98,5"
02,Aragón,"Agricultura, silvicultura y jardinería",2016,"68,5"
02,Aragón,"Agricultura, silvicultura y jardinería",2014,"62,0"
02,Aragón,"Agricultura, silvicultura y jardinería",2013,"61,2"
02,Aragón,"Agricultura, silvicultura y jardinería",2012,"59,4"
02,Aragón,"Agricultura, silvicultura y jardinería",2011,..
02,Aragón,"Agricultura, silvicultura y jardinería",2010,..
02,Aragón,"Agricultura, silvicultura y jardinería",2009,..
02,Aragón,"Agricultura, silvicultura y jardinería",2008,..
02,Aragón,"Agricultura, silvicultura y jardinería",2007,..
02,Aragón,"Agricultura, silvicultura y jardinería",2006,..
02,Aragón,"Agricultura, silvicultura y jardinería",2005,..
02,Aragón,"Agricultura, silvicultura y jardinería",2004,..
02,Aragón,"Agricultura, silvicultura y jardinería",2003,..
02,Aragón,"Agricultura, silvicultura y jardinería",2002,..
02,Aragón,"Agricultura, silvicultura y jardinería",2001,..
02,Aragón,"Agricultura, silvicultura y jardinería",2000,..
02,Aragón,Incineración o aprovechamiento energético,2022,"41,6"
02,Aragón,Incineración o aprovechamiento energético,2020,"40,2"
02,Aragón,Incineración o aprovechamiento energético,2018,"0,0"
02,Aragón,Incineración o aprovechamiento energético,2016,"29,7"
02,Aragón,Incineración o aprovechamiento energético,2014,"31,2"
02,Aragón,Incineración o aprovechamiento energético,2013,"31,3"
02,Aragón,Incineración o aprovechamiento energético,2012,"32,8"
02,Aragón,Incineración o aprovechamiento energético,2011,..
02,Aragón,Incineración o aprovechamiento energético,2010,..
02,Aragón,Incineración o aprovechamiento energético,2009,..
02,Aragón,Incineración o aprovechamiento energético,2008,..
02,Aragón,Incineración o aprovechamiento energético,2007,..
02,Aragón,Incineración o aprovechamiento energético,2006,..
02,Aragón,Incineración o aprovechamiento energético,2005,..
02,Aragón,Incineración o aprovechamiento energético,2004,..
02,Aragón,Incineración o aprovechamiento energético,2003,..
02,Aragón,Incineración o aprovechamiento energético,2002,..
02,Aragón,Incineración o aprovechamiento energético,2001,..
02,Aragón,Incineración o aprovechamiento energético,2000,..
02,Aragón,Vertedero,2022,"4,7"
02,Aragón,Vertedero,2020,"1,5"
02,Aragón,Vertedero,2018,"1,5"
02,Aragón,Vertedero,2016,"1,8"
02,Aragón,Vertedero,2014,"6,8"
02,Aragón,Vertedero,2013,"7,5"
02,Aragón,Vertedero,2012,"7,8"
02,Aragón,Vertedero,2011,..
02,Aragón,Vertedero,2010,..
02,Aragón,Vertedero,2009,..
02,Aragón,Vertedero,2008,..
02,Aragón,Vertedero,2007,..
02,Aragón,Vertedero,2006,..
02,Aragón,Vertedero,2005,..
02,Aragón,Vertedero,2004,..
02,Aragón,Vertedero,2003,..
02,Aragón,Vertedero,2002,..
02,Aragón,Vertedero,2001,..
02,Aragón,Vertedero,2000,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2022,"50,4"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2020,"21,9"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2018,"4,2"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2016,"0,0"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2014,"68,0"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2013,"0,0"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2012,"0,0"
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2011,..
