code,region,grupos_de_usuarios_e_importe,periodo,total
00,Total Nacional,Importe facturado por el agua suministrada,2002,2.352.117
00,Total Nacional,Importe facturado por el agua suministrada,2001,2.219.838
00,Total Nacional,Importe facturado por el agua suministrada,2000,2.121.471
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2022,218.429
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2020,242.825
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2018,212.460
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2016,228.873
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2014,250.756
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2013,268.842
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2012,276.530
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2011,363.377
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2010,313.558
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2009,343.623
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2008,467.184
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2007,459.410
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2006,311.233
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2005,289.671
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2004,393.655
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2003,317.921
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2002,283.997
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2001,329.458
00,Total Nacional,Importe total de la inversión en los servicios de suministro,2000,453.499
00,Total Nacional,Longitud de la red de suministro (km),2022,273.399
00,Total Nacional,Longitud de la red de suministro (km),2020,266.221
00,Total Nacional,Longitud de la red de suministro (km),2018,264.309
00,Total Nacional,Longitud de la red de suministro (km),2016,256.984
00,Total Nacional,Longitud de la red de suministro (km),2014,260.193
00,Total Nacional,Longitud de la red de suministro (km),2013,272.051
00,Total Nacional,Longitud de la red de suministro (km),2012,..
00,Total Nacional,Longitud de la red de suministro (km),2011,..
00,Total Nacional,Longitud de la red de suministro (km),2010,..
00,Total Nacional,Longitud de la red de suministro (km),2009,..
00,Total Nacional,Longitud de la red de suministro (km),2008,..
00,Total Nacional,Longitud de la red de suministro (km),2007,..
00,Total Nacional,Longitud de la red de suministro (km),2006,..
00,Total Nacional,Longitud de la red de suministro (km),2005,..
00,Total Nacional,Longitud de la red de suministro (km),2004,..
00,Total Nacional,Longitud de la red de suministro (km),2003,..
00,Total Nacional,Longitud de la red de suministro (km),2002,..
00,Total Nacional,Longitud de la red de suministro (km),2001,..
00,Total Nacional,Longitud de la red de suministro (km),2000,..
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2022,600.727
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2020,571.979
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2018,544.382
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2016,540.794
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2014,557.113
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2013,547.493
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2012,576.176
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2011,577.958
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2010,586.083
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2009,634.697
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2008,664.876
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2007,674.428
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2006,765.376
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2005,839.417
